+-------+-------------+----------------------------------------------------------------+----------------+--------+---------+---------------------+---------------------+
| id    | record_type | domain_name                                                    | record         | status | version | create_time         | update_time         |
| 29470 |           0 | job-finance-ebs-dev-vulcan-opr-22807.spark.ns.ai.vip.com       | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:22 | 2018-10-23 18:27:22 |
| 29471 |           0 | c-ai-platform-tomysql001-22845-47.spark.ns.ai.vip.com          | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:23 | 2018-10-23 18:48:10 |
| 29472 |           0 | c-ai-platform-tomysql001-22845-47.spark.ns.ai.vip.com          | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:23 | 2018-10-23 18:48:10 |
| 29473 |           0 | job-ai-platform-tomysql001-22845.spark.ns.ai.vip.com           | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:23 | 2018-10-23 18:27:23 |
| 29474 |           0 | job-ai-platform-tomysql001-22845.spark.ns.ai.vip.com           | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:23 | 2018-10-23 18:27:23 |
| 29475 |           0 | sqltest-448-ad-plarform.flink.ai.vip.com                       | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:31 | 2018-10-23 18:27:31 |
| 29476 |           0 | c-research-nlp-getdata-22848-86.spark.ns.ai.vip.com            | 10.219.237.100 |      0 | v22     | 2018-10-23 18:31:54 | 2018-10-23 18:51:55 |
| 29477 |           0 | c-research-nlp-getdata-22848-86.spark.ns.ai.vip.com            | 10.219.237.101 |      0 | v22     | 2018-10-23 18:31:54 | 2018-10-23 18:51:55 |
| 29478 |           0 | job-research-nlp-getdata-22848.spark.ns.ai.vip.com             | 10.219.237.100 |      1 | v22     | 2018-10-23 18:31:55 | 2018-10-23 18:31:55 |
| 29479 |           0 | job-research-nlp-getdata-22848.spark.ns.ai.vip.com             | 10.219.237.101 |      1 | v22     | 2018-10-23 18:31:55 | 2018-10-23 18:31:55 |
| 29480 |           0 | c-ai-platform-testmysqlsync-22849-35.spark.ns.ai.vip.com       | 10.219.237.100 |      0 | v22     | 2018-10-23 18:33:16 | 2018-10-23 18:35:58 |
| 29481 |           0 | c-ai-platform-testmysqlsync-22849-35.spark.ns.ai.vip.com       | 10.219.237.101 |      0 | v22     | 2018-10-23 18:33:16 | 2018-10-23 18:35:58 |
| 29482 |           0 | job-ai-platform-testmysqlsync-22849.spark.ns.ai.vip.com        | 10.219.237.100 |      1 | v22     | 2018-10-23 18:33:16 | 2018-10-23 18:33:16 |
| 29483 |           0 | job-ai-platform-testmysqlsync-22849.spark.ns.ai.vip.com        | 10.219.237.101 |      1 | v22     | 2018-10-23 18:33:16 | 2018-10-23 18:33:16 |
| 29484 |           0 | flink-kafka-449-ai-platform.flink.ns.ai.vip.com                | 10.219.237.100 |      1 | v22     | 2018-10-23 18:34:16 | 2018-10-23 18:34:16 |
| 29485 |           0 | flink-kafka-449-ai-platform.flink.ns.ai.vip.com                | 10.219.237.101 |      1 | v22     | 2018-10-23 18:34:16 | 2018-10-23 18:34:16 |
| 29486 |           0 | flink-kafka-450-ai-platform.flink.ns.ai.vip.com                | 10.219.237.100 |      1 | v22     | 2018-10-23 18:36:13 | 2018-10-23 18:36:13 |
